esrs,dr,paragraph,name,datatype,appendix,voluntary
E1,E1-6,AR 39 b,"Disclosure of methodologies, significant assumptions and emissions factors used to calculate or measure GHG emissions ",narrative,,,
E1,E1-6,AR 42 c,Disclosure of the effects of significant events and changes in circumstances (relevant to its GHG emissions) that occur between the reporting dates of the entities in its value chain and the date of the undertaking�s general purpose financial statements,narrative,,,
E1, E1-6 ,AR 45d,"Percentage of contractual instruments, Scope 2 GHG emissions",percent,,,
E1, E1-6 ,AR 45d,"Disclosure of types of contractual instruments, Scope 2 GHG emissions ",percent,,,
E1, E1-6 ,AR 45d,Percentage of market-based Scope 2 GHG emissions linked to purchased electricity bundled with instruments,percent,,,
E1, E1-6 ,AR 45d,Percentage of contractual instruments used for sale and purchase of energy bundled with attributes about energy generation in relation to Scope 2 GHG emissions,percent,,,
E1, E1-6 ,AR 45d,Percentage of contractual instruments used for sale and purchase of unbundled energy attribute claims in relation to Scope 2 GHG emissions,percent,,,
E1, E1-6 ,AR 45d,Disclosure of types of contractual instruments used for sale and purchase of energy bundled with attributes about energy generation or for unbundled energy attribute claims ,narrative,,,
E1, E1-6 ,AR 45e,Biogenic emissions of CO2 from combustion or bio-degradation of biomass not included in Scope 2 GHG emissions,ghgEmissions,,,
E1, E1-6 ,AR 45e,Biogenic emissions of CO2 from combustion or bio-degradation of biomass that occur in value chain not included in Scope 3 GHG emissions,ghgEmissions,,,
E1,E1-6,AR 46 g,Percentage of GHG Scope 3 calculated using primary data ,Percent,,,
E1,E1-6,AR 46 i,Disclosure of why Scope 3 GHG emissions category has been excluded ,narrative,,,
E1,E1-6,AR 46 i,List of Scope 3 GHG emissions categories included in inventory,semi-narrative,,,
E1,E1-6,AR 46 h,Disclosure of reporting boundaries considered and calculation methods for estimating Scope 3 GHG emissions,narrative,,,
E1, E1-6 ,53,"GHG emissions intensity, location-based (total GHG emissions per net revenue)",Intensity,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-6 ,53,"GHG emissions intensity, market-based (total GHG emissions per net revenue)",Intensity,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-6 ,55,Disclosure of reconciliation to financial statements of net revenue used for calculation of GHG emissions intensity ,narrative,SFDR+PILLAR 3+ BENCHMARK,,
E1,E1-6,55,Disclosure of reconciliation to relevant line item or notes in financial statements of net revenue amounts ,narrative,SFDR+PILLAR 3+ BENCHMARK,,
E1, E1-5,AR 55,Net revenue,monetary,,,
E1,E1-6,AR55,Net revenue used to calculate GHG intensity,monetary,,,
E1,E1-6,AR55,Net revenue other than used to calculate GHG intensity,monetary,,,
E1, E1-7 ,56a,Disclosure of GHG removals and storage resulting from projects developed in own operations or contributed to in upstream and downstream value chain ,narrative,CL,,
E1, E1-7 ,56b,Disclosure of GHG emission reductions or removals from climate change mitigation projects outside value chain financed or to be financed through any purchase of carbon credits ,narrative,CL,,
E1, E1-7 ,58,Removals and carbon credits are used,semi-narrative,,,
E1, E1-7 ,58a,GHG Removals and storage Activity by undertaking scope and by removal and storage activity,TABLE,,,
E1, E1-7 ,58a,Total GHG removals and storage,Table/ghgEmissions,,,
E1, E1-7 ,AR 58f,GHG emissions associated with removal activity,Table/ghgEmissions,,,
E1, E1-7 ,58b,"Disclosure of calculation assumptions, methodologies and frameworks applied (GHG removals and storage) ",narrative,,,
E1, E1-7 ,AR 58e,Removal activity has been converted into carbon credits and sold on to other parties on voluntary market,semi-narrative,,,
E1, E1-7 ,"AR 57 a,b,c,d","Description of GHGs concerned for removal and storage activity, technological details about GHG removal, type of storage and transport of removed GHGs, whether activity qualifies as nature-based solution and how risk of non-permanence is managed ",narrative,,,
E1, E1-7 ,59a,Total amount of carbon credits outside value chain that are verified against recognised quality standards and cancelled,ghgEmissions,,,
E1, E1-7 ,59b,Total amount of carbon credits outside value chain planned to be cancelled in future,ghgEmissions,,,
E1, E1-7 ,AR 60,Reversals,ghgEmissions,,,
E1, E1-7 ,AR 61,Disclosure of extent of use and quality criteria used for carbon credits ,narrative,,,
E1, E1-7 ,AR 62a,Percentage of reduction projects,percent,,,
E1, E1-7 ,AR 62a,Percentage of removal projects,percent,,,
E1, E1-7 ,AR 62b,Type of carbon credits from removal projects,semi-narrative,,,
E1, E1-7 ,AR 62c,Percentage for recognised quality standard,percent,,,
E1, E1-7 ,AR 62d,Percentage issued from projects in European Union,percent,,,
E1, E1-7 ,AR 62e,Percentage that qualifies as corresponding adjustment,percent,,,
E1, E1-7 ,AR 64,Date when carbon credits outside value chain are planned to be cancelled,date,,,
E1, E1-7 ,60,"Explanation of scope, methodologies and frameworks applied and how residual GHG emissions are intended to be neutralised ",narrative,,,
E1, E1-7 ,61,Public claims of GHG neutrality that involve use of carbon credits have been made,semi-narrative,,,
E1, E1-7 ,61a,Public claims of GHG neutrality that involve use of carbon credits are accompanied by GHG emission reduction targets,semi-narrative,,,
E1, E1-7 ,61b,Claims of GHG neutrality and reliance on carbon credits neither impede nor reduce achievement of GHG emission reduction targets or net zero target,semi-narrative,,,
E1, E1-7 ,"61 a, b",Explanation of how public claims of GHG neutrality that involve use of carbon credits are accompanied by GHG emission reduction targets and how claims of GHG neutrality and reliance on carbon credits neither impede nor reduce achievement of GHG emission reduction targets or net zero target ,narrative,,,
E1, E1-7 ,61c,Explanation of credibility and integrity of carbon credits used ,narrative,,,
E1, E1-7 ,AR 62,Percentage for recognised quality standards,percent,,,
E1, E1-8 ,63 a,Carbon pricing scheme by type,Table,,,
E1, E1-8 ,63 a,Type of internal carbon pricing scheme,Table/Narrative,,,
E1, E1-8 ,63b,Description of specific scope of application of carbon pricing scheme ,Table/Narrative,,,
E1, E1-8 ,63c,Carbon price applied for each metric tonne of greenhouse gas emission,Table/monetary,,,
E1, E1-8 ,63c,Description of critical assumptions made to determine carbon price applied ,Table/Narrative,,,
E1, E1-8 ,63d,Percentage of gross Scope 1 greenhouse gas emissions covered by internal carbon pricing scheme,Table/percent,,,
E1, E1-8 ,63d,Percentage of gross Scope 2 greenhouse gas emissions covered by internal carbon pricing scheme,Table/percent,,,
E1, E1-8 ,63d,Percentage of gross Scope 3 greenhouse gas emissions covered by internal carbon pricing scheme,Table/percent,,,
E1, E1-8 ,AR 65,Disclosure of how carbon price used in internal carbon pricing scheme is consistent with carbon price used in financial statements ,Table/Narrative,,,
E1, E1-9 ,66a,Assets at material physical risk before considering climate change adaptation actions,monetary,PILLAR 3 ,,
E1, E1-9 ,66a,Assets at acute material physical risk before considering climate change adaptation actions,monetary,PILLAR 3 ,,
E1, E1-9 ,66a,Assets at chronic material physical risk before considering climate change adaptation actions,monetary,PILLAR 3 ,,
E1, E1-9 ,66a,Percentage of assets at material physical risk before considering climate change adaptation actions,percent,PILLAR 3 ,,
E1, E1-9 ,66a,Disclosure of location of significant assets at material physical risk ,narrative,PILLAR 3 ,,
E1, E1-9 ,66b,Percentage of assets at material physical risk addressed by climate change adaptation actions,percent,,,
E1,E1-9,66 c,Disclosure of location of significant assets at material physical risk ,narrative,PILLAR 3 ,,
E1, E1-9 ,66d,Net revenue from business activities at material physical risk,monetary,,,
E1, E1-9 ,66d,Percentage of net revenue from business activities at material physical risk,percent,,,
E1, E1-9 ,AR 69a,Disclosure of how anticipated financial effects for assets and business activities at material physical risk have been assessed ,narrative,,,
E1, E1-9 ,AR 69b,Disclosure of how assessment of assets and business activities considered to be at material physical risk relies on or is part of process to determine material physical risk and to determine climate scenarios ,narrative,,,
E1, E1-9 ,AR 71b,Disclosure of risk factors for net revenue from business activities at material physical risk ,narrative,,,
E1, E1-9 ,AR 71b,Disclosure of magnitude of anticipated financial effects in terms of margin erosion for business activities at material physical risk ,narrative,,,
E1, E1-9 ,67a,Assets at material transition risk before considering climate mitigation actions,monetary,,,
E1, E1-9 ,67a,Percentage of assets at material transition risk before considering climate mitigation actions,percent,,,
E1, E1-9 ,67b,Percentage of assets at material transition risk addressed by climate change mitigation actions,percent,,,
E1, E1-9 ,67c,Total carrying amount of real estate assets,monetary,PILLAR 3 ,,
E1, E1-9 ,"AR 72a, AR 73a",Disclosure of how potential effects on future financial performance and position for assets and business activities at material transition risk have been assessed ,narrative,,,
E1, E1-9 ,AR 72b,Disclosure of how assessment of assets and business activities considered to be at material transition risk relies on or is part of process to determine material transition risks and to determine scenarios ,narrative,,,
E1, E1-9 ,AR 73a,Estimated amount of potentially stranded assets,monetary,,,
E1, E1-9 ,AR 73a,Percentage of estimated share of potentially stranded assets of total assets at material transition risk,percent,,,
E1, E1-9 ,AR 73b,Total carrying amount of real estate assets for which energy consumption is based on internal estimates,monetary,,,
E1, E1-9 ,67d,Liabilities from material transition risks that may have to be recognised in financial statements,monetary,,,
E1, E1-9 ,AR 74c,Number of Scope 1 GHG emission allowances within regulated emission trading schemes,integer,,,
E1, E1-9 ,AR 74c,Number of emission allowances stored (from previous allowances) at beginning of reporting period,integer,,,
E1, E1-9 ,AR 74d,"Potential future liabilities, based on existing contractual agreements, associated with carbon credits planned to be cancelled in near future",monetary,,,
E1, E1-9 ,AR 74e,Monetised gross Scope 1 and 2 GHG emissions,monetary,,,
E1, E1-9 ,AR 74e,Monetised total GHG emissions,monetary,,,
E1, E1-9 ,67e,Net revenue from business activities at material transition risk,monetary,,,
E1, E1-9 ,67e,Net revenue from customers operating in coal-related activities,monetary,,,
E1, E1-9 ,67e,Net revenue from customers operating in oil-related activities,monetary,,,
E1, E1-9 ,67e,Net revenue from customers operating in gas-related activities,monetary,,,
E1, E1-9 ,67e,Percentage of net revenue from customers operating in coal-related activities,percent,,,
E1, E1-9 ,67e,Percentage of net revenue from customers operating in oil-related activities,percent,,,
E1, E1-9 ,67e,Percentage of net revenue from customers operating in gas-related activities,percent,,,
E1, E1-9 ,"AR 76, 67e",Percentage of net revenue from business activities at material transition risk,percent,,,
E1, E1-9 ,AR 76b,Disclosure of risk factors for net revenue from business activities at material transition risk ,narrative,,,
E1, E1-9 ,AR 76b,Disclosure of magnitude of anticipated financial effects in terms of margin erosion for business activities at material transition risk ,narrative,,,
E1, E1-9 ,68a,Disclosure of reconciliations with financial statements of significant amounts of assets and net revenue at material physical risk ,narrative,,,
E1, E1-9 ,68b,"Disclosure of reconciliations with financial statements of significant amounts of assets, liabilities and net revenue at material transition risk ",narrative,,,
E1, E1-9 ,69a,Expected cost savings from climate change mitigation actions,monetary,PILLAR 3 ,,
E1, E1-9 ,69a,Expected cost savings from climate change adaptation actions,monetary,PILLAR 3 ,,
E1, E1-9 ,69b,Potential market size of low-carbon products and services or adaptation solutions to which undertaking has or may have access,monetary,PILLAR 3 ,,
E1, E1-9 ,69b,Expected changes to net revenue from low-carbon products and services or adaptation solutions to which undertaking has or may have access,monetary,PILLAR 3 ,,
E1, E1.GOV-3 ,13,"Disclosure of how climate-related considerations are factored into remuneration of members of administrative, management and supervisory bodies",narrative,,,
E1, E1.GOV-3 ,13,Percentage of remuneration recognised that is linked to climate related considerations,percent,,,
E1, E1.GOV-3 ,13,"Explanation of climate-related considerations that are factored into remuneration of members of administrative, management and supervisory bodies ",narrative,,,
E1, E1.SBM-3 ,18,Type of climate-related risk,semi-narrative,,,
E1, E1.SBM-3 ,19a,Description of scope of resilience analysis ,narrative,,,
E1, E1.SBM-3 ,19b,Disclosure of how resilience analysis has been conducted ,narrative,,,
E1, E1.SBM-3 ,19b,Date of resilience analysis,date,,,
E1, E1.SBM-3 ,AR 7b,Time horizons applied for resilience analysis,semi-narrative,,,
E1, E1.SBM-3 ,19c,Description of results of resilience analysis ,narrative,,,
E1, E1.SBM-3 ,AR 8b,Description of ability to adjust or adapt strategy and business model to climate change ,narrative,,,
E1, E1.IRO-1 ,"20a, AR 9",Description of process in relation to impacts on climate change ,narrative,,,
E1, E1.IRO-1 ,20b,Description of process in relation to climate-related physical risks in own operations and along value chain ,narrative,,,
E1, E1.IRO-1 ,AR 11a,"Climate-related hazards have been identified over short-, medium- and long-term time horizons",semi-narrative,,,
E1, E1.IRO-1 ,AR 11a,Undertaking has screened whether assets and business activities may be exposed to climate-related hazards,semi-narrative,,,
E1, E1.IRO-1 ,AR 11b,"Short-, medium- and long-term time horizons have been defined",semi-narrative,,,
E1, E1.IRO-1 ,AR 11c,Extent to which assets and business activities may be exposed and are sensitive to identified climate-related hazards has been assessed,semi-narrative,,,
E1, E1.IRO-1 ,AR 11d,Identification of climate-related hazards and assessment of exposure and sensitivity are informed by high emissions climate scenarios,semi-narrative,,,
E1, E1.IRO-1 ,21,"Explanation of how climate-related scenario analysis has been used to inform identification and assessment of physical risks over short, medium and long-term ",narrative,,,
E1, E1.IRO-1 ,20c,Description of process in relation to climate-related transition risks and opportunities in own operations and along value chain ,narrative,,,
E1, E1.IRO-1 ,AR 12a,"Transition events have been identified over short-, medium- and long-term time horizons",semi-narrative,,,
E1, E1.IRO-1 ,AR 12a,Undertaking has screened whether assets and business activities may be exposed to transition events,semi-narrative,,,
E1, E1.IRO-1 ,AR 12b,Extent to which assets and business activities may be exposed and are sensitive to identified transition events has been assessed,semi-narrative,,,
E1, E1.IRO-1 ,AR 12c,Identification of transition events and assessment of exposure has been informed by climate-related scenario analysis,semi-narrative,,,
E1, E1.IRO-1 ,AR 12d,Assets and business activities that are incompatible with or need significant efforts to be compatible with transition to climate-neutral economy have been identified,semi-narrative,,,
E1, E1.IRO-1 ,21,"Explanation of how climate-related scenario analysis has been used to inform identification and assessment of transition risks and opportunities over short, medium and long-term ",narrative,,,
E1, E1.IRO-1 ,AR 15,Explanation of how climate scenarios used are compatible with critical climate-related assumptions made in financial statements ,narrative,,,
