esrs,dr,paragraph,name,datatype,appendix,voluntary
E2, E2-6 ,40 b,Operating expenditures (OpEx) in conjunction with major incidents and deposits (pollution),monetary,,
E2, E2-6 ,40 b,Capital expenditures (CapEx) in conjunction with major incidents and deposits (pollution),monetary,,
E2, E2-6 ,40 c,Provisions for environmental protection and remediation costs (pollution),monetary,,
E2, E2-6 ,39 a,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from pollution-related impacts ,narrative,,
E2, E2-6 ,39 b,"Description of effects considered, related impacts and time horizons in which they are likely to materialise (pollution) ",narrative,,
E2, E2-6 ,39 c,"Disclosure of critical assumptions used to quantify anticipated financial effects, sources and level of uncertainty of assumptions (pollution) ",narrative,,
E2, E2-6 ,41,"Description of material incidents and deposits whereby pollution had negative impacts on environment and (or) is expected to have negative effects on financial cash flows, financial position and financial performance ",narrative,,
E2, E2-6 ,AR 33,"Disclosure of assessment of related products and services at risk and explanation how time horizon is defined, financial amounts are estimated, and which critical assumptions are made (pollution) ",narrative,,
E2, E2.IRO-1 ,11 a,"Information about methodologies, assumptions and tools used to screen site locations and business activities in order to identify actual and potential pollution-related impacts, risks and opportunities in own operations and upstream and downstream value chain ",narrative,,
E2, E2.IRO-1 ,11 b,Disclosure of whether and how consultations have been conducted (pollution) ,narrative,,
E2, E2.IRO-1 ,11c,Disclosure of results of materiality assessment (pollution) ,narrative,,
