esrs,dr,paragraph,name,datatype,appendix,voluntary
S2,S2-4,32 d,Description of how effectiveness of actions or initiatives in delivering outcomes for value chain workersis tracked and assessed ,narrative,,
S2,S2-4,33 a,Description of approach to identifying what action is needed and appropriate in response to particular actual or potential material negative impact on  value chain workers  ,narrative,,
S2,S2-4,33 b,Description of approach to taking action in relation to specific material impacts on  value chain workers  ,narrative,,
S2,S2-4,33 c,Description of approach to ensuring that processes to provide or enable remedy in event of material negative impacts on  value chain workers  are available and effective in their implementation and outcomes ,narrative,,
S2,S2-4,34 a,Description of what action is planned or underway to mitigate material risks arising from impacts and dependencies on  value chain workers  and how effectiveness is tracked ,narrative,,
S2,S2-4,34 b,Description of what action is planned or underway to pursue material opportunities in relation to  value chain workers  ,narrative,,
S2,S2-4,35,Disclosure of how it is ensured that own practices do not cause or contribute to material negative impacts on  value chain workers  ,narrative,,
S2,S2-4,36,Disclosure of severe human rights issues and incidents connected to upstream and downstream value chain ,narrative,SFDR,
S2,S2-4,38,Disclosure of resources allocated to management of material impacts ,narrative,,
S2,S2-4,AR 28 a,Disclosure of general and specific approaches to addressing material negative impacts ,narrative,,
S2,S2-4,AR 28 b,Disclosure of initiatives aimed at contributing to additional material positive impacts ,narrative,,
S2,S2-4,AR 28 c,Disclosure of how far undertaking has progressed in efforts during reporting period ,narrative,,
S2,S2-4,AR 28 d,Disclosure of aims for continued improvement ,narrative,,
S2,S2-4,AR 30,Disclosure of how undertaking seeks to use leverage with relevant business relationships to manage material negative impacts affecting  value chain workers  ,narrative,,V
S2,S2-4,AR 31,Disclosure of how participation in industry or multi-stakeholder initiative and undertaking's own involvement is aiming to address material impacts ,narrative,,V
S2,S2-4,AR 36 a),Disclosure of how value chain workers  and legitimate representatives or their credible proxies play role in decisions regarding design and implementation of programmes or processes ,narrative,,V
S2,S2-4,AR 36 b),Information about intended or achieved positive outcomes of programmes or processes for  value chain workers  ,narrative,,V
S2,S2-4,AR 37,Initiatives or processes whose primary aim is to deliver positive impacts for  value chain workers  are designed also to support achievement of one or more of Sustainable Development Goals,semi-narrative,,V
S2,S2-4,AR 43,"Information about measures taken to mitigate negative impacts on workers that arise from transition to greener, climate-neutral economy ",narrative,,
S2,S2-4,AR 44,Description of internal functions that are involved in managing impacts and types of action taken by internal functions to address negative and advance positive impacts ,narrative,,
S2,S2-5,41,"Targets set to manage material impacts, risks and opportunities related to value chain workers [see ESRS 2 - MDR-T]",MDR-T,,
S2,S2-5,42,Disclosure of process for setting time-bound and outcome-oriented targets ,narrative,,
S2,S2-5,42 a ,"Disclosure of how value chain workers , their legitimate representatives or credible proxies were engaged directly in setting targets ",narrative,,
S2,S2-5,42 b,"Disclosure of how value chain workers , their legitimate representatives or credible proxies were engaged directly in tracking performance against targets ",narrative,,
S2,S2-5,42 c,"Disclosure of how value chain workers , their legitimate representatives or credible proxies were engaged directly in identifying lessons or improvements as result of undertaking�s performance ",narrative,,
S2,S2-5,AR 45 a,Disclosure of intended outcomes to be achieved in lives of  value chain workers  ,narrative,,V
S2,S2-5,AR 45 b,Information about stability over time of target in terms of definitions and methodologies to enable comparability ,narrative,,V
S2,S2-5,AR 45 c,Disclosure of references to standards or commitments on which target is based ,narrative,,V
S2,S2.SBM-3,11,All  value chain workers  who can be materially impacted by undertaking are included in scope of disclosure under ESRS 2,semi-narrative,,
S2,S2.SBM-3,11 a),Description of types of value chain workers  subject to material impacts,narrative,,
S2,S2.SBM-3,11 a i)-v),Type of value chain workers  subject to material impacts by own operations or through value chain,semi-narrative,,
S2,S2.SBM-3,11 b,"Disclosure of geographies or commodities for which there is significant risk of child labour, or of forced or compulsory labour, among workers in undertaking�s value chain ",narrative,SFDR,
S2,S2.SBM-3,11 c,Material negative impacts occurrence (value chain workers ),semi-narrative,,
S2,S2.SBM-3,11 d,Description of activities that result in positive impacts and types of  value chain workers  that are positively affected or could be positively affected ,narrative,,
S2,S2.SBM-3,11 e,Description of material risks and opportunities arising from impacts and dependencies on  value chain workers  ,narrative,,
S2,S2.SBM-3,12,"Disclosure of whether and how the undertaking has developed an understanding of how workers with particular characteristics, those working in particular contexts, or those undertaking particular activities may be at greater risk of harm.",narrative,,
S2,S2.SBM-3,13,Disclosure of which of material risks and opportunities arising from impacts and dependencies on value chain workers  are impacts on specific groups ,narrative,,
